GENE	Log_Ratio_2992_1	Log_Ratio_2992_2	Log_Ratio_2992_3	Log_Ratio_2992_4	Log_Ratio_2992_5	Log_Ratio_2992_6	Log_Ratio_2992_7	Log_Ratio_2992_8	Log_Ratio_2992_9	Log_Ratio_2992_10	Log_Ratio_2992_11	Log_Ratio_2992_12	Log_Ratio_2997_1	Log_Ratio_2997_2	Log_Ratio_2997_3	Log_Ratio_2997_4	Log_Ratio_2997_5	Log_Ratio_2997_6	Log_Ratio_2997_7	Log_Ratio_2997_8	Log_Ratio_2997_9	Log_Ratio_2997_10	Log_Ratio_2998_1	Log_Ratio_2998_2	Log_Ratio_2998_3	Log_Ratio_2998_4	Log_Ratio_2998_5	Log_Ratio_2998_6	Log_Ratio_2998_7	Log_Ratio_2998_8	Log_Ratio_2998_9	Log_Ratio_2998_10	Log_Ratio_2998_11	Log_Ratio_2998_12	Log_Ratio_2998_13	Log_Ratio_2998_14	Log_Ratio_2998_15	Log_Ratio_2998_16	Log_Ratio_2998_17	Log_Ratio_2998_18	Log_Ratio_2998_19	Log_Ratio_2998_20	Log_Ratio_2998_21	Log_Ratio_2998_22	Log_Ratio_2998_23	Log_Ratio_2998_24	Log_Ratio_2998_25	Log_Ratio_2998_26	Log_Ratio_2998_27	Log_Ratio_2998_28	Log_Ratio_2998_29	Log_Ratio_2998_30	Log_Ratio_2998_31	Log_Ratio_2998_32	Log_Ratio_2998_33	Log_Ratio_2998_34	Log_Ratio_2998_35	Log_Ratio_2998_36	Log_Ratio_2998_37	Log_Ratio_2998_38	Log_Ratio_2998_39	Log_Ratio_2998_40	Log_Ratio_2998_41	Log_Ratio_2998_42	Log_Ratio_2998_43	Log_Ratio_2998_44	Log_Ratio_2998_45	Log_Ratio_2998_46	Log_Ratio_2998_47	Log_Ratio_2998_48	Log_Ratio_2998_49	Log_Ratio_2998_50	Log_Ratio_2998_51	Log_Ratio_2998_52	Log_Ratio_2998_53	Log_Ratio_2998_54	Log_Ratio_2998_55	Log_Ratio_2998_56	Log_Ratio_7475_1	Log_Ratio_7475_2	Log_Ratio_7475_3	Log_Ratio_7475_4	Log_Ratio_7475_5	Log_Ratio_7475_6	Log_Ratio_7475_7	Log_Ratio_7475_8	Log_Ratio_7475_9	Log_Ratio_7475_10	Log_Ratio_7475_11	Log_Ratio_7475_12	Log_Ratio_7475_13	Log_Ratio_7475_14	Log_Ratio_7475_15	Log_Ratio_7475_16	Log_Ratio_7475_17	Log_Ratio_7475_18	Log_Ratio_7475_19	Log_Ratio_7475_20	Log_Ratio_7475_21	Log_Ratio_7475_22	Log_Ratio_7475_23	Log_Ratio_7475_24	Log_Ratio_7475_25	Log_Ratio_7475_26	Log_Ratio_7475_27	Log_Ratio_7475_28	Log_Ratio_7475_29	Log_Ratio_7475_30	Log_Ratio_7475_31	Log_Ratio_7475_32	Log_Ratio_7475_33
CAC0001	0.137260	-0.196379	0.048756	-0.153568	0.272218	-0.666635	-0.450610	-1.106415	-0.126995	0.107718	-0.338718	-0.699349	0.000000	-0.187221	-0.132839	-0.225308	0.046208	0.083428	0.074639	-0.046382	0.104424	0.127252	1.603097	1.457897	-0.039769	1.398600	1.047298	2.378509	2.421928	1.586171	1.870449	1.742961	1.482593	0.683489	0.730024	0.361645	1.498115	0.373935	0.775316	-0.097146	-0.145277	0.226447	0.228828	0.768540	0.057163	0.118931	0.146168	0.702274	0.671049	1.728319	1.262277	1.090931	1.201942	0.911941	0.748748	0.912319	0.455977	0.105877	0.079161	0.303844	0.133146	-0.550500	-0.566127	-1.232237	-1.655294	-0.450677	-1.682303	0.316585	-1.361239	-1.405983	-2.027400	-2.490984	-2.085358	-2.231908	-2.032025	-0.878022	-1.382144	-1.083665	0.292671	0.206916	0.437426	0.278816	0.213400	0.344479	0.352290	0.689445	0.506742	-0.565500	-0.561611	-0.953402	-1.163234	-0.567585	-1.352252	-0.678745	-1.411607	-1.403180	-0.886088	-1.065739	-0.837130	-0.294600	-0.327823	-0.797060	-0.932782	-1.030490	-0.295693	-0.279587	-0.998780	-1.065342	-0.948034	-1.065248	-1.424158
CAC0002	0.197642	-0.075051	-0.178476	-0.636691	0.727823	-0.255810	-0.097556	-0.768434	-0.008696	-0.399940	-0.218697	-0.849345	0.544120	0.344138	0.059846	0.055605	0.372930	0.004619	0.321666	0.448584	0.434210	0.886547	0.887570	0.545687	-0.334364	0.768629	-0.366662	1.655734	1.229420	0.222921	0.980597	0.447770	0.440989	-0.063115	-0.075326	-0.732413	-0.033475	0.198368	0.023146	-0.140798	-0.561149	1.209998	-0.203219	0.397394	-0.274387	0.882170	1.074294	1.526936	0.907758	1.825519	1.678818	1.214776	1.811681	1.321351	1.628570	0.987649	0.178948	-0.190799	0.448207	0.963247	0.339344	-0.105747	-0.243516	-0.625791	-0.703048	0.451337	0.008689	1.019273	-0.520643	-0.397929	-1.280599	-2.045309	-2.286596	-2.482100	-2.261948	-0.833034	-1.786084	-1.412467	0.889132	0.272745	-0.014412	0.465469	0.059519	0.287152	0.504256	0.750551	0.597038	-1.814563	-2.058133	-2.243623	-1.128978	0.326494	-1.274834	0.095391	-1.192715	-2.283074	-0.750838	-0.925405	0.000000	0.289463	0.101619	-0.202690	-1.213513	-1.049237	-0.256629	-0.899354	-1.816488	-1.753473	-1.305952	-1.304532	-1.970261
CAC0003	0.837818	0.855334	-0.508532	-0.439263	0.108443	0.674646	0.118844	0.592763	0.209214	0.774279	-0.304250	-0.454807	0.528790	0.100508	0.087177	0.028204	-0.026644	0.000000	0.002790	0.138574	0.210442	0.225437	0.565881	0.676015	-0.298234	-0.039329	-0.104956	-0.744592	-1.049867	-0.990338	0.737227	1.012749	-0.834315	-0.752921	-1.707049	-0.922597	-1.994130	-1.823099	-1.384912	-1.016292	-0.475290	-1.180631	-1.215425	-1.286093	-0.742409	0.558730	0.501925	1.302097	1.295773	1.237674	1.389282	0.718247	1.244795	0.702702	0.710034	-0.047998	0.285757	0.494096	0.249780	0.349765	0.260981	1.009105	-0.816543	-3.266312	-2.979823	-0.474211	1.008869	-0.149858	0.250880	-1.236913	-0.932223	-2.578036	-1.522831	-1.690499	-2.064446	-1.479985	-1.110457	-1.725865	0.631831	0.255504	0.188885	0.607388	-0.028165	-0.064246	0.258675	-0.036077	0.055632	-0.673895	-1.831261	-2.475740	0.287762	0.940511	0.172357	0.561773	0.038766	-1.007441	0.038419	0.440711	0.912013	0.572794	0.558507	0.415993	-0.632128	-0.226325	-0.197585	-1.074929	-2.078408	-1.943847	-1.426289	-0.676978	-1.474869
CAC0004	0.082836	-0.180223	-0.610154	-0.559604	0.074422	-0.176747	0.095272	-0.083877	0.319423	0.036836	0.017349	nan	-1.407814	-1.634048	-1.509200	-1.504233	-0.903653	-0.754796	-0.325626	-0.831259	-0.957314	-0.350331	0.851666	0.418502	-0.833439	-0.395676	-0.200802	0.265574	0.121954	0.120398	0.118829	0.241373	0.041534	-0.674573	0.964531	-1.086203	-0.398177	0.436414	0.253038	0.239770	0.704484	1.789643	0.017419	-0.628417	-0.185852	-0.191895	0.395856	0.397229	-0.017349	0.181234	0.445278	0.124391	0.644178	-0.190429	0.371258	-0.462185	-0.552421	-0.661543	-0.169663	-0.206384	0.104547	-0.099539	1.120233	1.076621	0.958598	0.626657	1.456968	0.904052	1.060599	0.847272	0.756486	0.715441	-0.458616	1.339987	0.133603	1.658149	0.479131	1.413322	1.057307	0.446340	0.289135	0.707752	0.115023	-0.060223	0.524273	-0.764861	-0.217929	-0.890571	-2.350952	-3.467892	-0.940131	0.334984	-0.845156	0.427897	-0.914603	-2.612949	-0.595517	-0.539930	0.026961	0.709906	0.169569	-0.502538	-1.548482	-1.125433	-2.006328	-2.979858	-2.338229	-2.597802	-1.742275	-1.572016	-2.474741
CAC0005	0.954852	1.315257	-0.155905	-0.196340	0.072910	0.472432	0.264088	0.000000	0.357468	0.250036	0.353549	0.514902	0.262196	-0.231768	-0.238417	-0.161404	-0.709923	-0.600657	-0.716031	-0.597199	-0.514300	-0.288231	1.335868	1.884281	0.436401	1.238320	1.585643	-1.040962	0.011001	-0.571887	1.409260	1.764095	-0.908748	-0.047511	-0.665323	0.408288	0.161534	-0.078064	-0.342594	0.321806	1.001490	0.063250	0.820253	0.249609	0.519528	0.207342	0.579779	1.173122	1.282889	0.605258	0.830203	-0.099951	0.682010	-0.327569	0.345083	-0.629387	-0.549965	-1.058441	-0.628810	-0.393496	-0.289005	0.394593	0.219843	-0.753633	-1.539200	-0.310771	1.025575	0.342396	0.281686	0.246451	-0.594610	-2.855497	-0.584156	-2.799398	-1.209308	-0.304520	-1.781170	-1.217231	2.000957	1.163850	1.084652	1.398101	1.484917	1.530254	1.626902	2.156008	1.933471	-0.821829	-0.671375	-1.274369	-1.952397	0.195432	-2.116828	0.182527	-0.831631	-1.715106	-0.864291	-1.122524	-0.244879	0.856845	0.831287	0.179108	-1.253927	-0.953653	0.535984	-0.154576	-0.716659	-0.836300	-0.592106	-0.811788	-1.393945
CAC0006	0.496709	1.200494	0.216624	0.353605	0.433846	1.191570	1.053928	1.116138	-0.805686	-0.252338	0.324980	0.622925	-1.289618	-1.875811	-1.634159	-1.549762	-1.740514	-1.931157	-0.941752	-1.636423	-1.607083	-1.519568	1.971687	1.593330	-0.109957	0.450154	0.881229	-0.682025	-0.351444	-0.274736	0.722395	1.024025	-0.417455	-0.329234	-1.267260	-1.014099	-1.598876	-1.111500	-1.437160	-0.106129	1.307176	0.720410	0.314893	-0.764683	-0.095913	0.264098	1.529512	0.447236	0.841483	0.915455	1.361477	0.000000	1.157412	-0.529893	0.902451	-0.909896	-1.019608	-1.314269	-0.594790	0.334002	-0.695207	0.209522	0.442731	1.136826	0.835029	1.185185	0.943461	0.639987	1.319756	0.677346	0.715844	-0.106940	-0.090466	0.852945	0.271339	0.482365	1.463974	-0.533286	0.842263	-0.046604	-0.037846	0.677484	0.414570	0.364149	1.251097	1.039029	1.065234	-1.164999	-1.710959	-2.686031	-0.394617	-0.251504	-0.779172	-0.456823	-1.499631	-2.663608	-0.681633	-0.768922	-0.788529	0.544078	0.583843	0.289073	-0.589583	0.120762	0.389882	0.126025	-0.458376	-0.775775	-0.431507	-1.006792	-0.663767
CAC0007	0.826277	0.679347	-0.708316	-0.120362	0.330707	0.076060	0.238547	1.051510	-0.343706	0.229034	nan	nan	1.069042	0.518193	1.112864	1.008207	0.738671	1.163537	1.178575	1.022455	1.007417	1.198429	0.267259	0.429335	-0.427576	-1.039414	-0.743911	-1.580522	-1.512367	-1.453538	0.845218	0.728826	-0.906524	-0.552522	-1.307806	-0.426590	0.304724	0.037567	0.141330	-0.447415	-1.654966	-0.333285	0.896210	0.887573	0.943436	0.869416	0.646600	0.764064	2.012400	1.388885	1.676643	0.695434	1.265566	0.466359	1.200245	-1.039146	-0.492492	-0.364493	-0.055547	0.632729	-0.051363	1.066812	0.778179	-1.082882	-0.568887	1.462586	0.356531	1.646489	1.373253	-0.535440	-0.670491	-2.292053	-0.522027	-1.409082	-1.709587	-2.461521	-1.313542	-2.329949	0.469885	0.450876	0.528640	0.472940	0.688996	0.677826	-0.066880	0.339945	0.759153	-0.971282	-0.768408	-1.831878	-0.984332	-0.105559	-0.070206	0.533265	-0.207660	-1.619501	-1.074533	-0.719708	-0.068094	-1.185824	-0.754616	-1.529822	-0.692857	0.318221	-0.145556	-2.071897	-1.016118	-1.026809	-0.400805	0.000000	-0.866076
CAC0008	0.087560	0.492471	0.217785	0.294837	0.661734	0.581981	-0.113652	-0.392464	0.281407	1.015589	0.586033	-0.394365	0.926989	0.934738	0.931991	0.896010	0.981751	0.993710	1.532451	1.105392	1.013514	0.915016	1.390083	1.776380	0.070392	1.838082	1.736130	2.206659	2.655626	1.494964	0.848772	1.563389	0.697750	1.166230	-0.079845	1.028239	0.033133	0.124945	0.342767	-0.417955	0.898796	-1.769337	-1.245961	-1.012837	-0.921060	-1.233495	-0.714318	-0.749600	-0.795563	0.170254	0.308076	-0.663863	0.098002	-0.579525	-0.079686	-0.834600	-0.358349	-0.504472	-1.447430	-0.328725	-1.980379	-0.383665	-1.940560	0.397049	-1.615868	-1.907082	-0.761068	-2.147162	-2.834468	-1.365014	-0.776103	-0.704697	-0.596981	-1.151974	-0.576880	-0.388019	-0.311267	-0.222917	1.294220	0.988987	1.145057	0.283648	0.316810	0.443645	0.011388	0.000000	-0.018654	0.213945	0.047954	-0.259596	-0.566376	0.368375	-0.493306	0.348138	-0.147827	-0.321125	-0.063213	-0.092044	0.067997	0.247301	0.478830	0.153291	-1.059470	-0.782327	-1.062405	-1.416827	-1.439212	-1.212643	-0.746327	-0.996936	-1.090199
CAC0009	0.209474	-0.231030	0.741214	0.755638	1.302779	0.497140	-0.268167	-0.631332	0.787646	0.952831	0.746261	-0.092249	-0.453887	-0.951758	-0.890795	-0.790696	-0.907420	-0.718654	-1.324048	-1.166106	-1.099493	-0.972662	0.002954	-0.257379	-0.455558	-0.061124	-0.069701	1.909149	2.519841	1.390505	-0.241839	-0.696232	1.985731	0.902249	1.408063	1.297991	0.947685	1.550756	1.121151	2.016144	1.986559	-0.139147	-0.251188	1.234878	1.134233	2.127002	1.121550	0.578707	-0.089524	1.703867	2.329121	1.874015	2.478231	1.905599	1.457107	1.053678	1.896359	1.894153	1.502301	1.001091	1.180775	-0.614515	0.149293	-0.264718	0.060351	0.445499	-0.256825	0.372908	0.000000	-0.506804	-0.856830	-0.075660	-0.915182	0.148223	0.941821	-0.500357	0.826249	-0.377925	0.719288	0.911440	0.996796	0.475623	0.446871	0.576335	-0.259304	-0.585448	-0.694243	0.050912	-0.274322	-0.322813	-0.481081	0.400925	0.029643	-0.065507	-0.115930	-0.289718	-0.128304	-0.364241	0.063064	-0.453469	-0.031412	-0.291232	-0.755688	-0.704371	-1.371874	-2.234769	-1.279855	-1.275712	-0.629034	-0.880764	-0.682766
CAC0010	-0.842810	-0.028554	0.082923	0.142899	0.644267	0.257845	0.014453	-0.683827	0.332717	1.219171	-0.000346	-0.459317	0.082161	0.210247	0.000000	-0.047078	-0.082906	-0.212042	0.432280	0.244906	0.154195	0.019455	0.612967	2.198356	0.050553	1.617285	1.920393	1.039344	1.374356	0.313836	0.813325	0.776479	-1.196914	-0.234111	-0.255576	1.738032	1.384075	0.371079	0.394841	-0.326759	1.002387	0.014478	0.807574	1.092904	0.871635	-0.172101	0.694645	0.772552	0.332518	1.545229	1.562933	0.577385	1.927028	0.696009	1.531973	1.054356	0.921529	0.289414	-0.388384	0.865954	-0.490557	0.635382	-1.176686	-0.818242	-0.762400	-1.416797	-0.672676	0.015703	-1.310162	-1.017217	-0.736454	-2.961316	-1.589089	-2.845838	-1.533703	-1.343746	-1.225814	-1.831046	-0.207769	0.051077	0.166957	-0.406204	-0.802342	-0.570630	-0.567382	-0.332726	-0.241211	-1.001614	-1.592817	-1.461597	-0.259278	0.337490	-0.172680	0.188195	0.292358	-0.681232	0.000737	0.138891	0.524944	-0.845625	-0.754291	-0.983525	-0.976840	-0.952136	-1.211406	-2.076076	-1.843041	-1.596525	-1.034616	-1.038778	-1.152655
