GENE	Log_Ratio_54_1	Log_Ratio_54_2	Log_Ratio_54_3	Log_Ratio_54_4	Log_Ratio_54_5	Log_Ratio_54_6	Log_Ratio_54_7	Log_Ratio_54_8	Log_Ratio_7311_1	Log_Ratio_7311_2	Log_Ratio_7311_3	Log_Ratio_7311_4	Log_Ratio_7311_5	Log_Ratio_7311_6	Log_Ratio_7311_7	Log_Ratio_7668_1	Log_Ratio_7668_2	Log_Ratio_7668_3	Log_Ratio_7668_4	Log_Ratio_7668_5	Log_Ratio_7668_6	Log_Ratio_7669_1	Log_Ratio_7669_2	Log_Ratio_7669_3	Log_Ratio_7669_4	Log_Ratio_7669_5	Log_Ratio_7669_6	Log_Ratio_7669_7	Log_Ratio_7669_8	Log_Ratio_7669_9	Log_Ratio_7669_10	Log_Ratio_7669_11	Log_Ratio_7669_12	Log_Ratio_7669_13	Log_Ratio_7669_14	Log_Ratio_7669_15	Log_Ratio_7669_16	Log_Ratio_7669_17	Log_Ratio_7669_18	Log_Ratio_7669_19	Log_Ratio_7669_20	Log_Ratio_7669_21	Log_Ratio_7669_22	Log_Ratio_7669_23	Log_Ratio_7669_24	Log_Ratio_7670_1	Log_Ratio_7670_2	Log_Ratio_7670_3	Log_Ratio_7670_4	Log_Ratio_7670_5	Log_Ratio_7670_6	Log_Ratio_7670_7	Log_Ratio_7670_8	Log_Ratio_7670_9	Log_Ratio_7670_10	Log_Ratio_7670_11	Log_Ratio_7670_12	Log_Ratio_7670_13	Log_Ratio_7670_14	Log_Ratio_7670_15	Log_Ratio_7670_16	Log_Ratio_7670_17	Log_Ratio_7670_18	Log_Ratio_7670_19	Log_Ratio_7670_20	Log_Ratio_7670_21	Log_Ratio_7670_22	Log_Ratio_7671_1	Log_Ratio_7671_2	Log_Ratio_7671_3	Log_Ratio_7672_1	Log_Ratio_7672_2	Log_Ratio_7672_3	Log_Ratio_7672_4	Log_Ratio_7672_5	Log_Ratio_7673_1	Log_Ratio_7673_2	Log_Ratio_7673_3	Log_Ratio_7673_4	Log_Ratio_7674_1	Log_Ratio_7674_2	Log_Ratio_7674_3	Log_Ratio_7674_4	Log_Ratio_7674_5	Log_Ratio_7674_6	Log_Ratio_7675_1	Log_Ratio_7675_2	Log_Ratio_7675_3	Log_Ratio_7675_4	Log_Ratio_7675_5	Log_Ratio_7675_6	Log_Ratio_7676_1	Log_Ratio_7676_2	Log_Ratio_7676_3	Log_Ratio_7676_4
Cj0001	0.364339	0.912572	0.308215	0.715455	0.503964	0.342437	-0.429607	0.846866	-1.110515	-0.731562	-1.446870	-0.304611	-1.316370	-1.295748	-1.767788	0.492877	0.535934	1.916667	-0.039280	1.163468	0.467969	0.789337	0.361497	0.184680	0.074691	0.657172	0.451956	-0.397895	-0.327549	0.109056	-0.368002	0.333799	-0.057008	-0.403394	-0.509196	-0.097053	-0.107700	0.924843	0.013728	-0.427187	-0.810616	-0.205989	-0.157460	0.131951	-0.059849	0.217948	-0.274552	0.511461	0.181481	-0.157567	0.000000	-0.051427	0.147054	0.092320	0.045501	0.630516	0.364681	-0.224380	-0.059765	0.096817	-0.219559	0.155033	0.108078	-0.174058	-0.533117	-0.399081	-0.362225	-0.862274	-0.652642	-0.918503	-0.098682	-3.425930	0.457534	1.873055	-2.588933	-0.545319	-0.045198	0.005450	1.297756	1.135586	-1.551301	-4.601709	0.325050	0.456207	0.222789	1.607206	-2.064395	0.379483	-1.525868	2.182529	0.451912	0.556824	-0.763343	-0.987857	-1.630778
Cj0002	1.036551	0.666765	0.566209	0.920587	0.347257	0.475385	0.352934	0.644059	0.458256	-0.176892	0.574508	-0.606978	0.339148	-0.907747	-0.390685	3.997270	1.411778	1.456165	-0.703397	0.995253	1.013204	0.137754	-0.212894	0.110817	0.694338	-0.481310	-0.037031	-0.291355	-0.771684	1.725115	0.633147	0.069643	-0.162559	-0.550839	-0.696591	0.088301	-0.456064	0.462979	-0.396757	1.299984	1.150604	-0.785830	-0.271036	0.480573	0.152810	-0.050970	-0.499111	0.807207	0.037693	-0.000910	-0.287221	0.151842	0.443411	0.210739	-0.424507	0.641579	0.031656	0.026998	-0.219986	0.918508	0.634908	-0.063094	0.000000	0.193076	-0.303911	-0.169397	-0.344074	-0.125827	-1.589253	-0.747982	-0.196503	-0.316432	-0.553672	-0.144201	-1.985734	-1.067079	-0.060370	-0.782338	-0.274251	0.272627	-0.401716	-3.932284	0.807060	-2.147110	3.477688	-1.528061	1.943094	-1.008992	0.987094	-0.881226	0.665892	0.459114	0.660702	-0.393773	-0.364284
Cj0003	-0.490805	-0.043753	-0.699536	-0.652352	-0.897870	-0.351651	-0.770712	-0.640356	0.508684	-0.017698	0.015675	-0.364925	0.068164	-0.592314	-0.213155	-0.840608	-1.475431	-1.671822	0.812914	0.925424	1.241588	0.255504	-0.320014	-0.604713	-0.616581	0.228023	0.126820	0.685931	0.265619	-0.156767	-0.258884	0.657755	0.155877	0.795976	0.534258	0.522734	-0.033034	-0.107540	-0.587360	0.082915	0.074805	0.092038	0.180303	0.349798	-0.110627	0.429187	0.443039	0.420589	-0.429757	0.354980	0.389556	0.053566	0.252262	-0.315748	-0.509018	0.140835	-0.020345	-0.100434	0.568907	0.416764	-0.238383	0.174896	-0.377205	0.570603	0.138617	-0.299019	-0.035461	-0.757867	-1.501942	-1.715615	-1.134856	1.898658	3.868229	-1.544680	-2.333602	0.027358	-0.014697	-0.169106	0.000000	0.681504	-3.187751	-3.947323	1.230062	-0.605596	0.402198	-0.765644	2.642556	0.029982	1.306180	-0.321991	0.952073	1.709841	0.299869	-0.414696	0.066445
Cj0004c	0.628499	-0.123715	-0.051061	0.116872	-0.182013	0.202578	0.192137	0.320479	-0.270951	0.174963	-0.170923	-0.264993	-0.393433	-0.568622	-0.094557	4.177395	3.358704	2.133207	0.688489	1.756682	1.373449	0.316375	0.037346	0.148763	-0.281509	0.489485	0.228643	-0.339630	-0.552134	-0.259842	-0.506114	-0.135739	0.253891	0.493506	0.077811	0.368231	0.671564	-0.186169	-0.226574	-0.488268	-0.008367	0.919997	-0.325981	-0.242383	-0.091274	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.832099	0.491824	3.043670	-0.954336	-0.493206	-0.104339	-0.657019	0.385185	1.082743	-0.172714	-0.065515	0.677404	0.390635	-0.880481	-0.040941	1.253599	-0.241823	-0.499156	0.278328	0.263321	-3.161436	-0.307622	0.818178	-1.207435	-1.027757	0.008367	0.082424
Cj0005c	0.268636	0.229822	0.358432	0.680536	0.202014	0.254733	0.264002	0.284858	-0.472958	0.200223	-0.711687	0.036450	-0.169404	-0.894409	-0.176780	1.519454	3.814851	1.834108	0.018652	nan	2.098430	0.563433	0.363489	0.247877	-0.020253	0.387430	0.205299	-0.374351	-0.242333	-0.295786	-0.197119	0.111341	0.035229	-0.293778	-0.550112	-0.217590	-0.258119	0.449154	0.260891	0.042204	-0.207394	-0.203314	-0.133359	-0.078588	0.234832	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.733448	-0.237467	-0.486710	-1.231256	1.104647	0.573956	-1.692293	3.852321	-0.596624	1.162127	0.145302	-0.010179	-0.844051	0.741308	1.812175	0.650925	-1.829523	-0.515565	-1.426384	-0.592782	0.010179	-0.231280	-1.038028	0.046941	-2.176492	-0.175962	-1.009257	-0.880365
Cj0006	-1.101752	0.177684	-0.045494	-0.651781	-0.181931	-0.643648	-0.048205	0.568021	-1.059906	0.370241	-0.565379	0.516740	-0.427863	-0.252902	-0.180825	-1.161114	-2.552954	-1.223871	0.968378	2.085616	-1.450244	-1.073331	0.147179	-0.941338	-0.572970	-0.290613	-0.158496	0.737696	0.956812	0.451068	1.147361	0.330062	-0.376754	-0.120480	1.016814	0.648667	-0.317598	0.248519	0.618781	0.375520	-0.074355	0.420571	0.877623	-0.087108	-0.544930	0.345428	0.130693	-0.238056	0.621873	1.496890	-0.178413	0.095523	-0.110968	0.306267	0.083449	-0.260412	0.026241	-0.195844	-0.042042	-0.192179	0.000000	-0.354801	0.251949	0.265846	0.551652	0.127628	0.403086	-0.081965	-0.121066	-1.036518	2.242763	-1.205005	0.622352	0.869997	1.549827	-1.704442	-0.903580	-0.328345	0.316853	3.685273	-0.132812	-2.228975	2.976451	1.039910	-3.307333	-0.326497	0.382465	1.446310	0.176146	-0.850758	0.906479	0.409065	-0.113122	0.569354	1.035351
Cj0007	-1.259144	0.367479	0.578839	-0.508931	-0.660677	0.705036	0.485934	-0.542222	-0.039157	0.262915	-0.374952	0.194837	0.293912	-1.514572	-1.460259	2.146389	2.701268	1.588832	0.423911	2.158374	2.214520	0.038079	0.804684	0.661271	-0.413461	-0.084061	-0.003603	-0.358870	0.003603	1.056880	-0.691566	-0.515346	0.860384	-0.627427	-0.420232	-0.942667	0.024738	-1.177459	-0.356349	-1.109734	0.949544	-0.937363	0.164225	-0.079108	0.490198	0.118198	0.613577	-0.309249	0.769307	-0.357742	-0.179933	0.062498	0.163212	-0.876484	-0.135617	-0.852796	-0.269705	0.053771	0.417710	-0.954224	-0.750296	-0.278734	-0.144727	-0.081499	0.229965	0.132165	0.188938	nan	nan	nan	-0.649169	0.920799	-1.157050	-0.652029	0.373611	-1.426242	-2.043809	-1.761717	-0.238320	-2.603534	1.020300	0.760970	-0.466355	-1.614867	-1.062843	0.052357	1.475270	-0.586539	0.943437	0.046780	0.044812	1.848689	1.748366	2.178612	1.953672
Cj0008	0.206771	0.340580	0.343692	0.489170	0.031730	-0.515174	0.049623	0.057403	0.246599	-0.547161	-0.022729	-0.512685	0.260285	-1.396075	-0.799026	0.492050	0.766053	nan	nan	nan	nan	0.367701	-0.779504	1.245701	0.440840	-0.543269	-1.059782	0.577110	0.382241	1.926618	0.000000	-1.177251	0.942178	0.427934	-1.348142	-0.961534	0.296298	-0.718742	-1.656890	-1.411915	0.235202	0.434817	-0.764762	-0.740275	0.277945	-0.299514	-0.306417	-0.112451	-0.427932	-0.830779	-0.174443	-0.193934	-0.164911	0.176301	0.261908	0.199016	-0.086501	-0.298992	-0.371930	0.262484	0.285460	0.269968	0.585493	-0.549081	-0.714540	-0.303420	-0.512644	-0.126894	0.302521	1.723385	0.023296	1.770342	0.158385	1.106448	2.079300	-0.515848	-1.888332	-0.412491	-0.674553	-3.896429	-1.393797	-1.567961	0.794539	-0.915239	-0.774005	0.091322	2.009051	-0.812303	1.491382	-0.261351	0.833843	1.237472	3.685364	-1.116802	0.064442
Cj0009	-0.303683	0.076852	0.366468	-0.063440	-0.280200	-0.037549	0.038317	-0.143521	0.592375	0.531125	-0.055953	0.000000	0.377361	-1.030765	-0.417688	2.134389	2.851083	2.348343	0.531019	2.653217	1.804251	0.193954	0.684096	0.417492	-0.032680	0.251881	0.505838	-0.357528	0.028564	-0.070675	-0.433560	-0.142240	0.257738	-0.125252	-0.269631	-0.125888	-0.006959	0.162472	0.289058	-0.328069	0.394565	-0.333180	-0.104332	-0.010172	0.435378	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.951095	0.506644	0.781932	0.628491	-1.315544	-0.113262	0.206477	-1.006561	-0.398081	0.879141	-0.804185	0.031807	0.572680	-1.230538	1.057997	-2.328007	1.651459	-0.697645	0.566899	-1.761324	2.557337	-1.304983	0.470485	-0.246811	-1.271602	-1.856445	-1.089261	1.830383
Cj0010c	-0.000413	-0.240419	0.069961	0.124064	0.069148	-0.099263	0.013418	0.031316	-0.367694	-0.236367	-0.508916	0.025214	-0.462655	-0.520824	-0.550974	1.438360	-0.691829	-5.177525	0.479635	nan	1.277760	-0.178378	0.330653	-0.035614	0.301980	-0.572543	-0.413833	-0.658314	0.182754	-0.362196	0.282422	-0.059516	0.123277	0.000413	0.391962	0.084729	0.493079	-0.514252	-0.280912	-0.072524	0.344943	0.086143	0.084688	-0.141350	0.523656	0.002979	-0.193694	-0.392606	0.063405	0.443928	0.060149	-0.180685	0.001435	0.097330	0.207515	-0.004936	0.074316	-0.083411	0.089700	-0.324849	-0.032473	-0.304870	0.070456	0.067812	0.072837	-0.073092	0.284919	-0.695248	-0.041299	0.066443	2.657882	-2.610236	-1.292214	0.890106	-3.770399	-0.068036	0.139033	-1.411940	1.951249	1.431152	-1.731652	-0.593713	-1.624048	2.054126	0.842479	0.456107	-0.619761	0.661559	-0.970508	-0.109772	-0.049233	-2.043944	-1.566365	0.585349	0.038932
