GENE	Log_Ratio_7440_1	Log_Ratio_7440_2	Log_Ratio_7440_3	Log_Ratio_7440_4	Log_Ratio_7440_5	Log_Ratio_7440_6	Log_Ratio_7440_7	Log_Ratio_7440_8	Log_Ratio_7440_9	Log_Ratio_7440_10	Log_Ratio_7440_11	Log_Ratio_7440_12	Log_Ratio_7441_1	Log_Ratio_7441_2	Log_Ratio_7441_3	Log_Ratio_7441_4	Log_Ratio_7441_5	Log_Ratio_7916_1	Log_Ratio_7916_2	Log_Ratio_7917_1	Log_Ratio_7917_2	Log_Ratio_7917_3	Log_Ratio_7917_4	Log_Ratio_7917_5	Log_Ratio_7917_6	Log_Ratio_7918_1	Log_Ratio_7918_2	Log_Ratio_7918_3	Log_Ratio_7918_4	Log_Ratio_7918_5	Log_Ratio_7918_6	Log_Ratio_7920_1	Log_Ratio_7920_2	Log_Ratio_7920_3	Log_Ratio_7920_4	Log_Ratio_7920_5	Log_Ratio_7920_6	Log_Ratio_7921_1	Log_Ratio_7921_2	Log_Ratio_7921_3	Log_Ratio_7921_4	Log_Ratio_7921_5	Log_Ratio_7921_6	Log_Ratio_7923_1	Log_Ratio_7923_2	Log_Ratio_7923_3	Log_Ratio_7923_4	Log_Ratio_7923_5	Log_Ratio_7923_6	Log_Ratio_7924_1	Log_Ratio_7925_1	Log_Ratio_7926_1	Log_Ratio_7926_2	Log_Ratio_7926_3	Log_Ratio_7926_4	Log_Ratio_7926_5	Log_Ratio_7926_6	Log_Ratio_7927_1	Log_Ratio_7927_2	Log_Ratio_7927_3	Log_Ratio_7927_4	Log_Ratio_7927_5	Log_Ratio_7927_6
GSU0000.1	-2.066114	0.310149	0.246610	2.128555	2.090844	1.886905	-3.039561	-3.317311	-3.102671	0.371864	0.220810	0.907821	-0.684740	-2.054655	-0.989578	1.199283	1.128820	-0.144628	-0.415720	-0.205697	-1.033746	-0.401519	-0.586997	-0.073848	0.395232	0.210494	0.125780	-0.486310	-0.177937	0.885472	0.234659	0.574682	0.352689	0.328085	-0.146110	0.089030	-0.083475	0.000000	-0.123788	-0.291230	-0.233385	0.165157	0.125845	0.426634	0.384391	0.585534	0.068374	0.907160	0.407287	0.325100	0.090977	0.028824	-0.236042	-0.121779	0.054048	-0.375802	-0.059908	-0.048358	-0.063013	-0.118534	-0.258272	-0.274106	-0.005600
GSU0001	-1.831929	0.322182	0.249959	1.945759	1.863455	1.960828	-2.883041	-3.131053	-3.097102	1.239393	1.099905	1.656464	-0.395688	-1.430523	-0.912830	1.377957	1.108938	-0.139426	0.038568	-0.167476	0.443890	-0.217833	-0.010197	1.059238	0.761935	0.407507	0.454325	-0.001387	0.157042	0.023320	0.375608	-0.217681	-0.282926	1.034576	0.679892	-0.169907	0.162262	-0.796650	-0.012720	-0.557321	-0.029855	-0.829555	-0.772770	0.349555	0.115731	0.324903	0.161780	0.224990	0.484818	0.569777	0.042841	-0.187492	-0.113986	-0.077114	-0.045024	0.336279	0.000000	-0.433765	-0.223076	-0.333183	-0.173682	-0.037112	-0.351248
GSU0002	-1.434618	0.700194	0.741094	2.138711	2.816974	2.414466	-1.954805	-2.083466	-1.905206	0.941588	1.060935	1.738394	0.000000	-1.040374	-0.211577	1.808463	1.599427	0.446578	0.415797	-0.053194	-0.212672	-0.292361	-0.350609	-0.204402	-0.259124	0.714646	0.736381	-0.335116	-0.290496	-0.344864	0.030490	-0.502609	-0.470732	0.099021	0.099052	-0.273882	-0.238185	0.057468	0.178519	-0.739278	-0.907459	-0.630705	-0.674081	1.549714	1.191181	1.632638	1.130944	1.642770	1.682663	0.302360	0.246539	-0.025480	0.169331	-0.297750	0.110699	0.531715	0.316169	-0.243691	-0.244261	-0.196171	-0.070893	-0.184317	-0.229551
GSU0003	-1.664008	0.545258	0.577600	1.623235	1.731165	1.781567	-3.818945	-3.672234	-3.477314	-0.035300	0.494883	0.670885	-1.536771	-1.216096	-0.690729	0.295635	0.963279	-0.487000	-0.386874	0.450064	0.451015	-0.003089	0.655433	-0.067103	-0.253535	0.133444	0.188833	-0.023292	0.000578	-0.271532	-0.543490	0.294044	0.061805	-0.247903	-0.102903	0.053720	-0.015287	0.083040	0.073242	0.142334	-0.004481	0.083637	0.017427	-0.786855	-0.818305	-0.242426	-0.858477	-0.801309	-0.802320	-0.129865	0.006878	0.167343	0.224133	0.155071	0.104268	0.193987	0.086875	0.000000	-0.065611	0.026754	-0.034458	-0.069997	-0.100464
GSU0004	-1.469129	0.847181	0.771588	1.718859	1.781741	1.679405	-3.659172	-3.599979	-3.250298	0.559856	0.653788	0.960767	-1.061035	-0.671576	-0.429052	-0.003142	0.912563	-0.150169	-0.350728	-0.945564	0.000000	0.152068	-0.643157	-0.813961	-0.717312	-1.514171	-0.931009	0.099361	0.422114	0.340470	-0.125517	1.030946	0.444713	-0.133743	0.057627	-0.196539	-0.144230	0.016778	-0.062550	-0.237711	-0.227773	0.014141	0.082594	0.520508	0.440433	0.378927	0.238429	0.428399	0.475943	0.066306	0.074503	-0.069867	-0.176988	0.252733	0.209759	0.213840	0.237305	-0.008406	-0.151186	-0.125469	-0.083108	-0.125737	-0.126069
GSU0005	-2.066501	-0.044442	-0.174094	1.636171	2.115013	1.926230	-1.869979	-1.754740	-2.084346	0.375295	0.110781	0.713901	-0.825893	-0.872106	-0.712095	0.957472	0.987327	0.711502	-0.897621	0.396910	-0.106462	0.173253	0.000000	0.875802	1.098030	2.098641	2.095231	-0.343313	-0.449149	2.135835	0.472674	-0.707498	-0.448255	-0.586064	0.064762	-0.848223	-0.725703	-0.103514	0.322465	-1.286494	-0.858744	-0.732474	-0.007598	0.664399	0.536760	1.626537	0.827756	1.232993	1.455956	-0.126649	0.034194	-0.189032	0.086278	-0.717943	0.375452	-0.401761	-0.018485	0.147148	-0.124865	0.010765	0.014692	-0.725946	-0.084797
GSU0006	-3.636849	-0.663694	-0.809766	0.417824	0.828500	0.848354	-1.219749	-1.143029	-1.505229	1.186545	0.299752	0.421991	-1.138752	-2.222099	-1.809683	1.308868	1.788596	-0.090601	-0.738624	-0.667118	-0.345013	-0.278381	0.352420	0.798002	0.178215	-1.277726	-1.331134	-0.517475	-0.668318	0.281502	0.433144	1.431506	0.553224	-0.023698	-0.056390	0.477715	0.053809	0.360795	-0.271321	0.838878	0.567124	-0.704096	-0.891845	1.447319	1.224784	1.037188	1.867670	0.503224	1.341531	0.000000	-0.465614	0.430246	-0.729956	0.852379	0.174352	0.108439	0.523732	-0.701684	-0.335677	-0.537991	-0.235867	-0.247409	-0.626373
GSU0007	-1.541469	0.922047	0.944448	1.189831	2.290892	1.825497	-0.848771	-0.908419	-0.752682	1.002757	0.551773	1.012277	-0.484444	-0.881097	-0.144200	1.819484	2.060331	-0.154728	1.102757	-1.787484	-1.401641	-0.607311	-0.723298	-0.517339	-0.772606	-2.009169	-2.229934	-0.646961	-0.766598	-1.449475	-1.281731	0.000000	-0.462809	-0.866781	-0.395007	0.435795	-0.201741	0.140128	-0.386649	-0.087504	-1.470353	0.082150	-0.214341	0.886208	1.683715	0.668905	1.077028	0.754897	0.120521	0.109986	0.999439	0.347849	-0.294091	-0.363842	-0.583287	0.410306	0.028388	0.240482	0.357622	0.097342	0.338880	0.797872	0.757351
GSU0008	-0.060054	1.054768	0.884399	0.932058	0.871272	1.089535	-0.833632	-0.629056	-0.567165	0.268227	-0.036883	0.405430	-0.000538	0.264209	0.097234	0.298226	0.748742	-0.049512	0.612661	-1.885036	-1.921983	-2.240453	-1.861283	-2.574970	-2.504894	-1.488630	-1.643755	-1.335985	-2.145832	-1.644710	-1.548649	-0.104176	-0.897134	0.346793	0.466331	0.878388	0.764035	-0.098466	-0.544719	0.000000	0.804159	0.434526	0.296766	-1.017481	-0.542558	-0.284979	-0.765996	-0.468541	-0.986516	0.740755	0.696675	-0.021097	0.683501	0.059148	-0.729140	0.797102	0.042925	0.497634	0.277108	0.647923	0.604324	1.006201	0.709926
GSU0009	-1.096775	0.491419	0.451356	-0.049156	0.558068	0.618114	-1.663472	-1.354706	-1.405410	1.296153	0.854528	1.160973	-0.190242	-0.480493	-0.389120	0.213494	0.788485	-0.076708	0.053557	2.009716	2.140964	1.474938	1.908317	2.210070	2.712857	1.374943	1.240253	1.585536	1.193137	2.830489	2.076883	-0.896620	0.090526	-0.424246	-1.040217	-0.210714	0.191945	0.150253	-0.045218	-0.179360	-0.119072	-0.297215	-0.017921	-0.238246	-0.402304	1.533683	-0.095714	0.711341	0.834320	1.259137	-0.014104	-0.937654	-0.459007	-0.029867	0.039557	-0.024922	-0.256953	-0.126969	0.000000	0.090102	-0.065360	-0.250520	-0.150171
